ERCC_ID	fraction_to_total			Re_sort_ID	Name	subgroup	concentration_in_Mix_1	molecules_in_nL in_1_1000_stock	molecules_in_each_chamber
ERCC-00084	0.00028302	ERCC-00084	DQ883682	55	RNA_SPIKE_NISTag41	C	29.296875	17.578125	7.896271882
ERCC-00085	7.08E-05	ERCC-00085	DQ883669	14	RNA_SPIKE_NISTag28	A	7.32421875	4.39453125	1.974067971
ERCC-00086	1.11E-06	ERCC-00086	DQ516791	90	RNA_SPIKE_MJ-1000-74	D	0.11444092	0.068664552	0.030844813
ERCC-00092	0.002264164	ERCC-00092	DQ459425	6	RNA_SPIKE_MC20	A	234.375	140.625	63.17017506
ERCC-00095	0.001132082	ERCC-00095	DQ516759	7	RNA_SPIKE_MJ-500-42	A	117.1875	70.3125	31.58508753
ERCC-00096	0.144906495	ERCC-00096	DQ459429	24	RNA_SPIKE_MC27	B	15000	9000	4042.891204
ERCC-00097	4.42E-06	ERCC-00097	DQ516758	19	RNA_SPIKE_MJ-500-41	A	0.45776367	0.274658202	0.123379248
ERCC-00098	5.53E-07	ERCC-00098	DQ459415	68	RNA_SPIKE_MC04	C	0.05722046	0.034332276	0.015422406
ERCC-00099	0.00014151	ERCC-00099	DQ875387	56	RNA_SPIKE_PHE	C	14.6484375	8.7890625	3.948135941
ERCC-00104	2.21E-06	ERCC-00104	DQ516815	42	RNA_SPIKE_MJ-2000-98	B	0.22888184	0.137329104	0.061689625
ERCC-00108	0.009056656	ERCC-00108	DQ668365	4	RNA_SPIKE_TagO	A	937.5	562.5	252.6807002
ERCC-00109	8.84E-06	ERCC-00109	DQ854998	39	RNA_SPIKE_AG009.1100	B	0.91552734	0.549316404	0.246758495
ERCC-00111	0.004528328	ERCC-00111	DQ883685	50	RNA_SPIKE_NISTag44	C	468.75	281.25	126.3403501
ERCC-00112	0.001132082	ERCC-00112	DQ459422	75	RNA_SPIKE_MC14	D	117.1875	70.3125	31.58508753
ERCC-00113	0.036226624	ERCC-00113	DQ883663	48	RNA_SPIKE_NISTag22	C	3750	2250	1010.722801
ERCC-00116	0.004528328	ERCC-00116	DQ668367	5	RNA_SPIKE_TagIN	A	468.75	281.25	126.3403501
ERCC-00117	5.53E-07	ERCC-00117	DQ459412	45	RNA_SPIKE_MC01	B	0.05722046	0.034332276	0.015422406
ERCC-00120	8.84E-06	ERCC-00120	DQ854992	62	RNA_SPIKE_AG003.0011	C	0.91552734	0.549316404	0.246758495
ERCC-00123	2.21E-06	ERCC-00123	DQ516782	21	RNA_SPIKE_MJ-1000-65	A	0.22888184	0.137329104	0.061689625
ERCC-00126	0.00014151	ERCC-00126	DQ459427	34	RNA_SPIKE_MC25	B	14.6484375	8.7890625	3.948135941
ERCC-00130	0.28981299	ERCC-00130	EF011072	1	RNA_SPIKE_ynbA	A	30000	18000	8085.782407
ERCC-00131	0.001132082	ERCC-00131	DQ855003	8	RNA_SPIKE_AG016.1110	A	117.1875	70.3125	31.58508753
ERCC-00134	1.77E-05	ERCC-00134	DQ516739	17	RNA_SPIKE_MJ-250-22	A	1.83105469	1.098632814	0.493516993
ERCC-00136	0.018113312	ERCC-00136	EF011063	3	RNA_SPIKE_rpoA	A	1875	1125	505.3614005
ERCC-00137	8.84E-06	ERCC-00137	DQ855000	85	RNA_SPIKE_AG011.0011	D	0.91552734	0.549316404	0.246758495
ERCC-00138	1.11E-06	ERCC-00138	DQ516777	44	RNA_SPIKE_MJ-1000-60	B	0.11444092	0.068664552	0.030844813
ERCC-00142	2.21E-06	ERCC-00142	DQ883646	43	RNA_SPIKE_NISTag5	B	0.22888184	0.137329104	0.061689625
ERCC-00143	3.54E-05	ERCC-00143	DQ668362	59	RNA_SPIKE_TagG	C	3.66210938	2.197265628	0.987033987
ERCC-00144	0.00028302	ERCC-00144	DQ854995	11	RNA_SPIKE_AG006.1100	A	29.296875	17.578125	7.896271882
ERCC-00145	0.009056656	ERCC-00145	DQ875386	49	RNA_SPIKE_LYS	C	937.5	562.5	252.6807002
ERCC-00147	8.84E-06	ERCC-00147	DQ516790	18	RNA_SPIKE_MJ-1000-73	A	0.91552734	0.549316404	0.246758495
ERCC-00148	0.00014151	ERCC-00148	DQ883642	33	RNA_SPIKE_NISTag1	B	14.6484375	8.7890625	3.948135941
ERCC-00150	3.54E-05	ERCC-00150	DQ883659	36	RNA_SPIKE_NISTag18	B	3.66210938	2.197265628	0.987033987
ERCC-00154	7.08E-05	ERCC-00154	DQ854997	13	RNA_SPIKE_AG009.0011	A	7.32421875	4.39453125	1.974067971
ERCC-00156	4.42E-06	ERCC-00156	DQ883643	20	RNA_SPIKE_NISTag2	A	0.45776367	0.274658202	0.123379248
ERCC-00157	7.08E-05	ERCC-00157	DQ839618	58	RNA_SPIKE_AG090.1111	C	7.32421875	4.39453125	1.974067971
ERCC-00158	4.42E-06	ERCC-00158	DQ516795	41	RNA_SPIKE_MJ-1000-78	B	0.45776367	0.274658202	0.123379248
ERCC-00160	7.08E-05	ERCC-00160	DQ883658	81	RNA_SPIKE_NISTag17	D	7.32421875	4.39453125	1.974067971
ERCC-00162	0.000566041	ERCC-00162	DQ516750	53	RNA_SPIKE_MJ-500-33	C	58.59375	35.15625	15.79254376
ERCC-00163	0.00014151	ERCC-00163	DQ668359	79	RNA_SPIKE_TagD	D	14.6484375	8.7890625	3.948135941
ERCC-00164	4.42E-06	ERCC-00164	DQ516779	64	RNA_SPIKE_MJ-1000-62	C	0.45776367	0.274658202	0.123379248
ERCC-00165	0.000566041	ERCC-00165	DQ668363	76	RNA_SPIKE_TagH	D	58.59375	35.15625	15.79254376
ERCC-00168	4.42E-06	ERCC-00168	DQ516776	87	RNA_SPIKE_MJ-1000-59	D	0.45776367	0.274658202	0.123379248
ERCC-00170	0.00014151	ERCC-00170	DQ516773	12	RNA_SPIKE_MJ-1000-56	A	14.6484375	8.7890625	3.948135941
ERCC-00171	0.036226624	ERCC-00171	DQ854994	25	RNA_SPIKE_AG006.0011	B	3750	2250	1010.722801
